DOI	year	author
10.1145/3498366.3505756	2022	Huang, Yue
10.1145/3498366.3505756	2022	Obada-Obieh, Borke
10.1145/3498366.3505756	2022	Redmiles, Elissa M.
10.1145/3498366.3505756	2022	Lokam, Satya
10.1145/3498366.3505756	2022	Beznosov, Konstantin
10.1145/3498366.3505770	2022	Abualsaud, Mustafa
10.1145/3498366.3505770	2022	Smucker, Mark
10.1145/3406522.3446055	2021	Gomes, Sebastian
10.1145/3406522.3446055	2021	Hoeber, Orland
10.1145/3406522.3446054	2021	Benham, Rodger
10.1145/3406522.3446054	2021	Mackenzie, Joel
10.1145/3406522.3446054	2021	Culpepper, J. Shane
10.1145/3406522.3446054	2021	Moffat, Alistair
10.1145/3406522.3446046	2021	Palani, Srishti
10.1145/3406522.3446046	2021	Ding, Zijian
10.1145/3406522.3446046	2021	MacNeil, Stephen
10.1145/3406522.3446046	2021	Dow, Steven P.
10.1145/3406522.3446045	2021	Shah, Chirag
10.1145/3406522.3446045	2021	White, Ryen W.
10.1145/3406522.3446044	2021	Li, Yuan
10.1145/3406522.3446044	2021	Ward, Austin R.
10.1145/3406522.3446044	2021	Capra, Rob
10.1145/3406522.3446058	2021	Aliannejadi, Mohammad
10.1145/3406522.3446058	2021	Landoni, Monica
10.1145/3406522.3446058	2021	Huibers, Theo
10.1145/3406522.3446058	2021	Murgia, Emiliana
10.1145/3406522.3446058	2021	Pera, Maria Soledad
10.1145/3406522.3446041	2021	Abualsaud, Mustafa
10.1145/3406522.3446041	2021	Smucker, Mark D.
10.1145/3406522.3446041	2021	Clarke, Charles L. A.
10.1145/3406522.3446040	2021	Jia, Romy Menghao
10.1145/3406522.3446040	2021	Du, Jia Tina
10.1145/3406522.3446040	2021	Zhao, Yuxiang Chris
10.1145/3406522.3446039	2021	Balasuriya, Saminda Sundeepa
10.1145/3406522.3446039	2021	Sitbon, Laurianne
10.1145/3406522.3446039	2021	Zhang, Jinglan
10.1145/3406522.3446039	2021	Anuar, Khairi
10.1145/3406522.3446038	2021	Arapakis, Ioannis
10.1145/3406522.3446038	2021	Park, Souneil
10.1145/3406522.3446038	2021	Pielot, Martin
10.1145/3406522.3446037	2021	Shukla, Soumya
10.1145/3406522.3446037	2021	Hoeber, Orland
10.1145/3406522.3446057	2021	Ghosh, Souvick
10.1145/3406522.3446057	2021	Ghosh, Satanu
10.1145/3406522.3446035	2021	Papenmeier, Andrea
10.1145/3406522.3446035	2021	Kern, Dagmar
10.1145/3406522.3446035	2021	Hienert, Daniel
10.1145/3406522.3446035	2021	Sliwa, Alfred
10.1145/3406522.3446035	2021	Aker, Ahmet
10.1145/3406522.3446035	2021	Fuhr, Norbert
10.1145/3406522.3446034	2021	Repke, Tim
10.1145/3406522.3446034	2021	Krestel, Ralf
10.1145/3406522.3446033	2021	Ferraro, Andres
10.1145/3406522.3446033	2021	Serra, Xavier
10.1145/3406522.3446033	2021	Bauer, Christine
10.1145/3406522.3446015	2021	Liu, Jiqun
10.1145/3406522.3446015	2021	Jung, Yong Ju
10.1145/3406522.3446025	2021	Roy, Nirmal
10.1145/3406522.3446025	2021	Torre, Manuel Valle
10.1145/3406522.3446025	2021	Gadiraju, Ujwal
10.1145/3406522.3446025	2021	Maxwell, David
10.1145/3406522.3446025	2021	Hauff, Claudia
10.1145/3406522.3446029	2021	Choi, Bogeum
10.1145/3406522.3446029	2021	Arguello, Jaime
10.1145/3406522.3446029	2021	Capra, Robert
10.1145/3406522.3446029	2021	Ward, Austin R.
10.1145/3406522.3446012	2021	Câmara, Arthur
10.1145/3406522.3446012	2021	Roy, Nirmal
10.1145/3406522.3446012	2021	Maxwell, David
10.1145/3406522.3446012	2021	Hauff, Claudia
10.1145/3406522.3446032	2021	Mckay, Dana
10.1145/3406522.3446032	2021	Twidale, Michael B.
10.1145/3406522.3446032	2021	Buchanan, George
10.1145/3406522.3446022	2021	Zhang, Huiwen
10.1145/3406522.3446022	2021	McKay, Dana
10.1145/3406522.3446022	2021	Buchanan, George
10.1145/3406522.3446019	2021	Vrijenhoek, Sanne
10.1145/3406522.3446019	2021	Kaya, Mesut
10.1145/3406522.3446019	2021	Metoui, Nadia
10.1145/3406522.3446019	2021	Möller, Judith
10.1145/3406522.3446019	2021	Odijk, Daan
10.1145/3406522.3446019	2021	Helberger, Natali
10.1145/3406522.3446017	2021	Niu, Xi
10.1145/3406522.3446017	2021	Al-Doulat, Ahmad
10.1145/3406522.3446056	2021	Gäde, Maria
10.1145/3406522.3446056	2021	Koolen, Marijn
10.1145/3406522.3446056	2021	Hall, Mark
10.1145/3406522.3446056	2021	Bogers, Toine
10.1145/3406522.3446056	2021	Petras, Vivien
10.1145/3406522.3446013	2021	Heck, Melanie
10.1145/3406522.3446013	2021	Edinger, Janick
10.1145/3406522.3446013	2021	Bünemann, Jonathan
10.1145/3406522.3446013	2021	Becker, Christian
10.1145/3406522.3446024	2021	Foulds, Olivia
10.1145/3406522.3446024	2021	Azzopardi, Leif
10.1145/3406522.3446024	2021	Halvey, Martin
10.1145/3406522.3446030	2021	Crescenzi, Anita
10.1145/3406522.3446030	2021	Capra, Rob
10.1145/3406522.3446030	2021	Choi, Bogeum
10.1145/3406522.3446030	2021	Li, Yuan
10.1145/3406522.3446027	2021	Cambazoglu, B. Barla
10.1145/3406522.3446027	2021	Tavakoli, Leila
10.1145/3406522.3446027	2021	Scholer, Falk
10.1145/3406522.3446027	2021	Sanderson, Mark
10.1145/3406522.3446027	2021	Croft, Bruce
10.1145/3406522.3446028	2021	Cambazoglu, B. Barla
10.1145/3406522.3446028	2021	Baranova, Valeriia
10.1145/3406522.3446028	2021	Scholer, Falk
10.1145/3406522.3446028	2021	Sanderson, Mark
10.1145/3406522.3446028	2021	Tavakoli, Leila
10.1145/3406522.3446028	2021	Croft, Bruce
10.1145/3406522.3446014	2021	Ortloff, Anna-Marie
10.1145/3406522.3446014	2021	Zimmerman, Steven
10.1145/3406522.3446014	2021	Elsweiler, David
10.1145/3406522.3446014	2021	Henze, Niels
10.1145/3406522.3446011	2021	Leiva, Luis A.
10.1145/3406522.3446011	2021	Arapakis, Ioannis
10.1145/3406522.3446011	2021	Iordanou, Costas
10.1145/3406522.3446031	2021	Sinnamon, Luanne
10.1145/3406522.3446031	2021	Tamim, Limor
10.1145/3406522.3446031	2021	Dodson, Samuel
10.1145/3406522.3446031	2021	O'Brien, Heather L.
10.1145/3406522.3446023	2021	Azzopardi, Leif
10.1145/3406522.3446018	2021	Lopatovska, Irene
10.1145/3406522.3446018	2021	Korshakova, Elena
10.1145/3406522.3446018	2021	Brown, Diedre
10.1145/3406522.3446018	2021	Li, Yiqiao
10.1145/3406522.3446018	2021	Min, Jie
10.1145/3406522.3446018	2021	Pasiak, Amber
10.1145/3406522.3446018	2021	Zheng, Kaige
10.1145/3406522.3446021	2021	Arguello, Jaime
10.1145/3406522.3446021	2021	Ferguson, Adam
10.1145/3406522.3446021	2021	Fine, Emery
10.1145/3406522.3446021	2021	Mitra, Bhaskar
10.1145/3406522.3446021	2021	Zamani, Hamed
10.1145/3406522.3446021	2021	Diaz, Fernando
10.1145/3343413.3377985	2020	Costa, Luca
10.1145/3343413.3377985	2020	Aliannejadi, Mohammad
10.1145/3343413.3377985	2020	Crestani, Fabio
10.1145/3343413.3377984	2020	Hall, Mark Michael
10.1145/3343413.3377984	2020	Bogers, Toine
10.1145/3343413.3377941	2020	Avula, Sandeep
10.1145/3343413.3377941	2020	Arguello, Jaime
10.1145/3343413.3378012	2020	Roy, Nirmal
10.1145/3343413.3378012	2020	Moraes, Felipe
10.1145/3343413.3378012	2020	Hauff, Claudia
10.1145/3343413.3378011	2020	Torbati, Ghazaleh H.
10.1145/3343413.3378011	2020	Yates, Andrew
10.1145/3343413.3378011	2020	Weikum, Gerhard
10.1145/3343413.3378010	2020	Davari, Masoud
10.1145/3343413.3378010	2020	Hienert, Daniel
10.1145/3343413.3378010	2020	Kern, Dagmar
10.1145/3343413.3378010	2020	Dietze, Stefan
10.1145/3343413.3378009	2020	Choi, Jason Ingyu
10.1145/3343413.3378009	2020	Agichtein, Eugene
10.1145/3343413.3378007	2020	Wu, Dan
10.1145/3343413.3378007	2020	Zhang, Shutian
10.1145/3343413.3378014	2020	Mikhail, Mary
10.1145/3343413.3378014	2020	Roegiest, Adam
10.1145/3343413.3378014	2020	Anello, Karen
10.1145/3343413.3378014	2020	Wei, Winter
10.1145/3343413.3378004	2020	Tian, Mucun
10.1145/3343413.3378004	2020	Ekstrand, Michael D.
10.1145/3343413.3378003	2020	Sitbon, Laurianne
10.1145/3343413.3378003	2020	Favre, Benoit
10.1145/3343413.3378003	2020	Zhang, Jinglan
10.1145/3343413.3378003	2020	Bayor, Andrew A.
10.1145/3343413.3378003	2020	Koplick, Stewart
10.1145/3343413.3378003	2020	Bircanin, Filip
10.1145/3343413.3378003	2020	Brereton, Margot
10.1145/3343413.3377999	2020	Ma, Yue
10.1145/3343413.3377999	2020	Wang, Pianran
10.1145/3343413.3377999	2020	Lu, Jinyi
10.1145/3343413.3377998	2020	van Zeelt, Mickey
10.1145/3343413.3377998	2020	den Hengst, Floris
10.1145/3343413.3377998	2020	Hashemi, Seyyed Hadi
10.1145/3343413.3377997	2020	Zhang, Yan
10.1145/3343413.3377997	2020	Song, Shijie
10.1145/3343413.3378005	2020	Cole, Lynne
10.1145/3343413.3378005	2020	MacFarlane, Andrew
